date,url,domain,keywords,context,ngram
2024-12-01T00:01:00.000Z,https://www.times-news.com/news/an-israeli-strike-in-gaza-kills-world-central-kitchen-workers-israel-says-1-was-an/article_67e77ee8-50d7-5fdf-9d0e-9007daa2fb3c.html,www.times-news.com,['uncertainty'],in a shock offensive that brought fresh uncertainty to the region. The truce between Israel,uncertainty
2024-12-01T00:01:00.000Z,https://www.kare11.com/article/news/nation-world/israel-hamas-conflict/israeli-strike-gaza-aid-workers/507-f78aef6c-0dfd-495c-bd9a-5bee64d93b1b,www.kare11.com,['uncertainty'],in a shock offensive that added fresh uncertainty to a region reeling from multiple wars.,uncertainty
2024-12-01T00:01:00.000Z,https://www.wusa9.com/article/news/nation-world/aleppo-fighting-syria-civil-war/507-8707836b-a484-4f23-b039-c7dd2f0d21da,www.wusa9.com,['uncertainty'],that sent residents fleeing and added fresh uncertainty to a region reeling from multiple wars.,uncertainty
2024-12-01T00:01:00.000Z,https://gazette.com/ap/international/an-israeli-strike-in-gaza-kills-world-central-kitchen-workers-israel-says-1-was-an/article_43b38c52-3a91-5364-bb77-7d177150ae32.html,gazette.com,['uncertainty'],"breached its largest city, Aleppo, bringing fresh uncertainty to the region. The truce between Israel",uncertainty
2024-12-01T00:01:00.000Z,https://www.ctvnews.ca/world/israeli-strikes-kill-charity-workers-they-say-one-of-the-targets-was-an-oct-7-attacker-1.7129169,www.ctvnews.ca,['uncertainty'],"breached its largest city, Aleppo, bringing fresh uncertainty to the region. The truce between Israel",uncertainty
2024-12-01T00:01:00.000Z,https://www.troyrecord.com/2024/11/30/bills-brace-for-lake-effect-storm-that-could-dump-more-than-2-feet-of-snow-before-game-against-49ers/,www.troyrecord.com,['uncertainty'],"best we can,"" he added, noting the uncertainty of the weather adds an extra layer",uncertainty
2024-12-02T00:01:00.000Z,https://www.chroniclelive.co.uk/news/tv/im-celebritys-maura-higgins-opens-30493392,www.chroniclelive.co.uk,['uncertainty'],"I'm sorry!"" reports the Express. Maura admitted uncertainty about the exclusivity of her pre-jungle romance",uncertainty
2024-12-02T00:01:00.000Z,https://www.finanznachrichten.de/nachrichten-2024-12/63959683-barton-gold-holdings-limited-appointment-of-company-secretary-200.htm,www.finanznachrichten.de,['uncertainty'],on forward-looking statements due to the inherent uncertainty thereof. * Refer to Barton Prospectus dated,uncertainty
2024-12-02T00:01:00.000Z,https://www.kfm.co.ug/salah-hints-at-exit-after-inspring-liverpool-to-win-over-man-city/,www.kfm.co.ug,['uncertainty'],"Liverpool from 369 matches and despite the uncertainty around his future, he continues to deliver",uncertainty
2024-12-02T00:01:00.000Z,https://www.firstcoastnews.com/article/news/nation-world/daca-recipients-worry-protection-wont-last-under-trump/507-4b1975af-8625-486d-873f-f7b55a86ae65,www.firstcoastnews.com,['uncertainty'],an Arizona-based advocacy organization for immigrant rights. uncertainty is nothing new for DACA recipients. As,uncertainty
2024-12-02T00:01:00.000Z,https://www.hopestandard.com/national-news/daca-recipients-worry-their-protection-from-deportation-wont-last-another-trump-term-7680536,www.hopestandard.com,['uncertainty'],an Arizona-based advocacy organization for immigrant rights. uncertainty is nothing new for DACA recipients. As,uncertainty
2024-12-02T00:01:00.000Z,https://www.whas11.com/article/news/nation-world/daca-recipients-worry-protection-wont-last-under-trump/507-4b1975af-8625-486d-873f-f7b55a86ae65,www.whas11.com,['uncertainty'],an Arizona-based advocacy organization for immigrant rights. uncertainty is nothing new for DACA recipients. As,uncertainty
2024-12-02T00:01:00.000Z,https://www.tnp.no/norway/economy/1997-a-less-oil-dependent-state-budget-in-2011/,www.tnp.no,['uncertainty'],state's financial situation in developed countries creates uncertainty about the strength of growth. Many countries,uncertainty
2024-12-02T00:01:00.000Z,https://www.tnp.no/norway/politics/1871-norway-applauds-direct-peace-talks-between-israel-and-palestina/,www.tnp.no,['uncertainty'],The announcement followed an extended period of uncertainty as to whether the parties would return,uncertainty
