date,url,domain,keywords,context,ngram
2024-08-01T00:01:00.000Z,https://globalnews.ca/news/10674145/bc-tourism-short-term-rental-rules-housing/,globalnews.ca,['uncertainty'],Think about the fact that we have uncertainty sometimes about what kind of sky is,uncertainty
2024-08-01T00:01:00.000Z,https://www.afrc.af.mil/News/Article/3856993/total-force-integration-afr-aircrew-executes-live-fire-training-in-alaska-on-ac/,www.afrc.af.mil,['uncertainty'],"and geographically diverse area, adding elements of uncertainty that would be reflected in an operational",uncertainty
2024-08-01T00:01:00.000Z,https://netflixlife.com/posts/miles-teller-most-underrated-movie-spectacular-now-netflix-august-2024-01j41yme23d4,netflixlife.com,['uncertainty'],"happens?! Well, it's a reflection of the uncertainty of life. The open-ended ending leaves us",uncertainty
2024-08-01T00:01:00.000Z,https://www.wfae.org/2024-07-31/private-school-voucher-opportunity-scholar-grant-money,www.wfae.org,['uncertainty'],while also paying for the voucher waitlist. uncertainty in voucher funding leaves enrollment up in,uncertainty
2024-08-01T00:01:00.000Z,https://www.wfae.org/2024-07-31/private-school-voucher-opportunity-scholar-grant-money,www.wfae.org,['uncertainty'],and public school advocates worry what this uncertainty means for public schools that might lose,uncertainty
2024-08-01T00:01:00.000Z,https://techxplore.com/news/2024-07-sustainable-path-home-canada.html,techxplore.com,['uncertainty'],"of course there's a certain amount of uncertainty associated with all of these estimates, but",uncertainty
2024-08-02T00:01:00.000Z,https://www.aol.co.uk/election-week-uncertainty-helps-drive-230100676.html,www.aol.co.uk,['uncertainty'],"weak footfall, as political electioneering peaked, creating uncertainty for many consumers. Andy Sumpter, from Sensormatic",uncertainty
2024-08-02T00:01:00.000Z,https://www.penarthtimes.co.uk/news/national/24492599.election-week-uncertainty-helps-drive-shopper-footfall/,www.penarthtimes.co.uk,['uncertainty'],"weak footfall, as political electioneering peaked, creating uncertainty for many consumers. Andy Sumpter, from Sensormatic",uncertainty
2024-08-02T00:01:00.000Z,https://www.northwaleschronicle.co.uk/news/national/24492599.election-week-uncertainty-helps-drive-shopper-footfall/,www.northwaleschronicle.co.uk,['uncertainty'],"weak footfall, as political electioneering peaked, creating uncertainty for many consumers. Andy Sumpter, from Sensormatic",uncertainty
2024-08-02T00:01:00.000Z,https://www.piquenewsmagazine.com/national-business/stock-market-today-worries-about-the-economy-hit-wall-street-and-the-dow-drops-nearly-500-points-9301300,www.piquenewsmagazine.com,['uncertainty'],the latest quarter that topped analysts' expectations. uncertainty was high heading into its report after,uncertainty
2024-08-02T00:01:00.000Z,https://www.aol.co.uk/election-week-uncertainty-helps-drive-230100771.html,www.aol.co.uk,['uncertainty'],"weak footfall, as political electioneering peaked, creating uncertainty for many consumers. Andy Sumpter, from Sensormatic",uncertainty
2024-08-02T00:01:00.000Z,https://www.theislamicmonthly.com/occupied-voices-hearing-the-human-side-of-conflict/,www.theislamicmonthly.com,['uncertainty'],current moment has inspired both optimism and uncertainty about what the future will bring. Before,uncertainty
2024-08-02T00:01:00.000Z,https://www.desiblitz.com/content/is-aima-baig-leaving-pakistan,www.desiblitz.com,['uncertainty'],"this long."" As messages of dismay and uncertainty flooded in from fans, she swiftly moved",uncertainty
2024-08-02T00:01:00.000Z,https://www.theislamicmonthly.com/the-waiting-game/,www.theislamicmonthly.com,['uncertainty'],"We are waiting. Conspiracy theories, speculations and uncertainty have overtaken the imagination in Egypt. In",uncertainty
2024-08-02T00:01:00.000Z,https://www.watfordobserver.co.uk/news/national/24492599.election-week-uncertainty-helps-drive-shopper-footfall/,www.watfordobserver.co.uk,['uncertainty'],"weak footfall, as political electioneering peaked, creating uncertainty for many consumers. Andy Sumpter, from Sensormatic",uncertainty
2024-08-02T00:01:00.000Z,https://www.herald.co.zw/sa-factory-mood-leaps-as-political-climate-clears/,www.herald.co.zw,['uncertainty'],more than expected in July as political uncertainty cleared after the formation of a centrist,uncertainty
2024-08-02T00:01:00.000Z,https://www.somersetcountygazette.co.uk/news/national/24492599.election-week-uncertainty-helps-drive-shopper-footfall/,www.somersetcountygazette.co.uk,['uncertainty'],"weak footfall, as political electioneering peaked, creating uncertainty for many consumers. Andy Sumpter, from Sensormatic",uncertainty
2024-08-02T00:01:00.000Z,https://www.dunfermlinepress.com/news/national/24492599.election-week-uncertainty-helps-drive-shopper-footfall/,www.dunfermlinepress.com,['uncertainty'],"weak footfall, as political electioneering peaked, creating uncertainty for many consumers. Andy Sumpter, from Sensormatic",uncertainty
2024-08-02T00:01:00.000Z,https://www.nwemail.co.uk/news/national/24492599.election-week-uncertainty-helps-drive-shopper-footfall/,www.nwemail.co.uk,['uncertainty'],"weak footfall, as political electioneering peaked, creating uncertainty for many consumers. Andy Sumpter, from Sensormatic",uncertainty
2024-08-02T00:01:00.000Z,https://www.cravenherald.co.uk/news/national/24492599.election-week-uncertainty-helps-drive-shopper-footfall/,www.cravenherald.co.uk,['uncertainty'],"weak footfall, as political electioneering peaked, creating uncertainty for many consumers. Andy Sumpter, from Sensormatic",uncertainty
2024-08-02T00:01:00.000Z,https://www.warringtonguardian.co.uk/news/national/24492599.election-week-uncertainty-helps-drive-shopper-footfall/,www.warringtonguardian.co.uk,['uncertainty'],"weak footfall, as political electioneering peaked, creating uncertainty for many consumers. Andy Sumpter, from Sensormatic",uncertainty
2024-08-04T00:01:00.000Z,https://www.yardbarker.com/nfl/articles/commanders_claim_former_jaguars_kicker_off_waivers/s1_14819_40684247,www.yardbarker.com,['uncertainty'],to a Washington team that features kicker uncertainty after McManus' release. Patterson has kicked in,uncertainty
2024-08-04T00:01:00.000Z,https://www.theprogress.com/news/first-nation-chief-says-2004-slide-saw-chilcotin-river-blocked-for-days-7470370,www.theprogress.com,['uncertainty'],"of the Williams Lake Indian Band, the uncertainty of how the landslide will give way",uncertainty
2024-08-04T00:01:00.000Z,https://www.marketscreener.com/quote/stock/META-PLATFORMS-INC-10547141/news/Music-labels-AI-lawsuits-create-new-copyright-puzzle-for-US-courts-47550419/,www.marketscreener.com,['uncertainty'],said fast-evolving AI technology is creating new uncertainty at every level of copyright law. WHOSE,uncertainty
2024-08-05T00:01:00.000Z,https://upnorthlive.com/news/nation-world/for-college-students-arrested-protesting-the-war-in-gaza-the-fallout-was-only-beginning,upnorthlive.com,['uncertainty'],"with the legal limbo, those students face uncertainty in their academic careers. Some remain steadfast,",uncertainty
2024-08-05T00:01:00.000Z,https://www.strategy-business.com/article/19984,www.strategy-business.com,['uncertainty'],fourth quarter of 1999 to cover its uncertainty about component availability. As its customers stocked,uncertainty
2024-08-05T00:01:00.000Z,https://www.strategy-business.com/article/19984,www.strategy-business.com,['uncertainty'],"supply web, they need to keep this uncertainty in mind. The web needs to be",uncertainty
2024-08-05T00:01:00.000Z,https://noodls.com/arts-and-culture/the-unexpected-love-story-of-orihime-and-ichigo/,noodls.com,['uncertainty'],"a labyrinth of emotions, where fear and uncertainty mingled with unwavering devotion and unspoken declarations",uncertainty
2024-08-05T00:01:00.000Z,https://noodls.com/arts-and-culture/the-unexpected-love-story-of-orihime-and-ichigo/,noodls.com,['uncertainty'],illuminating the path amidst the shadows of uncertainty and fortifying their bond with the enduring,uncertainty
2024-08-05T00:01:00.000Z,https://time.com/7007651/belgium-withdraw-triathlon-claire-michel-sick-paris-olympics/,time.com,['uncertainty'],"advance and circumstances that do not cause uncertainty among athletes, entourage and fans.""",uncertainty
2024-08-06T00:01:00.000Z,https://www.wcti12.com/news/local/heavy-rains-prompt-power-outage-warnings-duke-energy-advises-emergency-preparedness,www.wcti12.com,['uncertainty'],"potentially high winds. However, even with the uncertainty of when the storm will reach the",uncertainty
2024-08-06T00:01:00.000Z,https://www.marinij.com/2024/08/05/column-the-allure-of-dvds-over-streaming/,www.marinij.com,['uncertainty'],in stock — a brief moment of uncertainty created an exhilaration all its own. The,uncertainty
2024-08-06T00:01:00.000Z,https://archinect.com/news/article/150440035/cultural-sector-projects-valued-at-more-than-8-billion-in-2023-study-shows,archinect.com,['uncertainty'],"of investment decreasing, reflecting the current economic uncertainty affecting both the public and private sectors.""",uncertainty
2024-08-08T00:01:00.000Z,https://www.lifenews.com/2024/08/07/florida-abortion-amendment-4-is-extreme-and-should-be-struck-down/,www.lifenews.com,['uncertainty'],licensed physicians perform abortions. There is also uncertainty about whether the amendment will require the,uncertainty
2024-08-08T00:01:00.000Z,https://worldoil.com/news/2024/8/7/court-ruling-strikes-down-nextdecade-s-rio-grande-lng-permit-in-texas/,worldoil.com,['uncertainty'],LNG projects. This could also layer additional uncertainty for global buyers considering U.S. LNG supplies,uncertainty
2024-08-08T00:01:00.000Z,https://www.kcra.com/article/boeing-starliner-astronauts-still-in-space-may-have-to-ride-spacex-home/61815819,www.kcra.com,['uncertainty'],"""got more and more uncomfortable with the uncertainty around the thrusters,"" Stich said.As NASA works",uncertainty
2024-08-08T00:01:00.000Z,https://www.legalbusiness.co.uk/co-publishing/sponsored-briefing-israels-unicorn-success-story-boosts-optimism/,www.legalbusiness.co.uk,['uncertainty'],"of Nishlis Legal Marketing. 'In 2022, economic uncertainty and rising interest rates have contributed to",uncertainty
2024-08-08T00:01:00.000Z,https://www.legalbusiness.co.uk/co-publishing/sponsored-briefing-israels-unicorn-success-story-boosts-optimism/,www.legalbusiness.co.uk,['uncertainty'],"experiencing rising inflation, interest rates and economic uncertainty for all, the Israeli experience is that",uncertainty
2024-08-08T00:01:00.000Z,https://sofrep.com/news/an-iraq-war-veterans-imagining-of-post-war-gaza/,sofrep.com,['uncertainty'],government and infrastructure in Gaza. There is uncertainty as to which government or entities will,uncertainty
2024-08-08T00:01:00.000Z,https://mynorthwest.com/3974876/nasa-chances-growing-astronauts-may-switch-from-boeing-spacex-ride-back-earth/,mynorthwest.com,['uncertainty'],SpaceX for a ride home. There's lingering uncertainty over the safety of Boeing's new Starliner,uncertainty
2024-08-08T00:01:00.000Z,https://www.heritage.org/defense/commentary/what-will-it-take-make-americas-military-great-again,www.heritage.org,['uncertainty'],course. Decades of continuing resolutions and budgetary uncertainty have left the military hostage to political,uncertainty
2024-08-08T00:01:00.000Z,https://www.zerohedge.com/news/2024-08-07/kamalas-vp-pick-tim-walz-signed-pro-pedophilia-legislation-law-mn-governor,www.zerohedge.com,['uncertainty'],of degenerate terminology leaves far too much uncertainty around how sexual orientation can now be,uncertainty
2024-08-08T00:01:00.000Z,https://www.moneymanagement.com.au/news/financial-planning/half-employees-considering-career-change,www.moneymanagement.com.au,['uncertainty'],"in professionals re-evaluating their career path. ""The uncertainty and volatility of both work and life",uncertainty
2024-08-08T00:01:00.000Z,https://www.wshu.org/npr-news/2024-08-07/as-democrats-barnstorm-battleground-states-so-does-jd-vance,www.wshu.org,['uncertainty'],"country, that everywhere she goes, chaos and uncertainty follow,"" he said. ""We've got a war",uncertainty
2024-08-08T00:01:00.000Z,https://www.japantimes.co.jp/olympics/2024/08/08/japan-skaters-get-medals/,www.japantimes.co.jp,['uncertainty'],"that competition, the long wait and the uncertainty simply melted away into joy. The Japanese",uncertainty
2024-08-08T00:01:00.000Z,https://www.clickondetroit.com/tech/2024/08/07/nasa-says-chances-are-growing-that-astronauts-may-switch-from-boeing-to-a-spacex-ride-back-to-earth/,www.clickondetroit.com,['uncertainty'],SpaceX for a ride home. There's lingering uncertainty over the safety of Boeing's new Starliner,uncertainty
2024-08-08T00:01:00.000Z,https://www.emsnow.com/scanfil-plc-solid-operational-performance-and-preparing-for-growth/,www.emsnow.com,['uncertainty'],we have demonstrated our capability to manage uncertainty and protect profitability in times of lower,uncertainty
2024-08-08T00:01:00.000Z,https://www.mynbc5.com/article/heavy-rain-flooding-likely-from-debby-late-this-week-08-07-24/61819475,www.mynbc5.com,['uncertainty'],there remains a large degree of forecast uncertainty about where the heaviest area of rain,uncertainty
2024-08-08T00:01:00.000Z,https://www.mynbc5.com/article/heavy-rain-flooding-likely-from-debby-late-this-week-08-07-24/61819475,www.mynbc5.com,['uncertainty'],there remains a large degree of forecast uncertainty about where the heaviest area of rain,uncertainty
2024-08-08T00:01:00.000Z,https://www.mynbc5.com/article/heavy-rain-flooding-likely-from-debby-late-this-week-08-07-24/61819475,www.mynbc5.com,['uncertainty'],there remains a large degree of forecast uncertainty about where the heaviest area of rain,uncertainty
2024-08-08T00:01:00.000Z,https://www.mynbc5.com/article/heavy-rain-flooding-likely-from-debby-late-this-week-08-07-24/61819475,www.mynbc5.com,['uncertainty'],This will potentially cause scattered flash and uncertainty about where the heaviest area of rain,uncertainty
2024-08-08T00:01:00.000Z,https://www.mynbc5.com/article/heavy-rain-flooding-likely-from-debby-late-this-week-08-07-24/61819475,www.mynbc5.com,['uncertainty'],the heaviest area of rain will occur. uncertainty about where the heaviest area of rain,uncertainty
2024-08-08T00:01:00.000Z,https://www.bozemandailychronicle.com/ap_news/business/nasa-says-chances-are-growing-that-astronauts-may-switch-from-boeing-to-a-spacex-ride/article_2bb7d98e-c345-5456-ab35-0267fe56e063.html,www.bozemandailychronicle.com,['uncertainty'],SpaceX for a ride home. There's lingering uncertainty over the safety of Boeing's new Starliner,uncertainty
2024-08-08T00:01:00.000Z,https://www.finanzen.at/nachrichten/aktien/novartis-receives-fda-accelerated-approval-for-fabhalta-iptacopan-the-first-and-only-complement-inhibitor-for-the-reduction-of-proteinuria-in-primary-iga-nephropathy-igan-1033655953,www.finanzen.at,['uncertainty'],"years, I understand firsthand the fear and uncertainty that come with an IgAN diagnosis, and",uncertainty
2024-08-08T00:01:00.000Z,https://menafn.com/1108529724/Training-For-Two-Olympians-Are-Challenging-Gender-Norms-By-Competing-While-Pregnant,menafn.com,['uncertainty'],(AP Photo/Rich Pedroncelli) Elite athletes have reported uncertainty about training through pregnancy . They exercise,uncertainty
2024-08-12T00:01:00.000Z,https://www.irrigator.com.au/story/8724775/afghans-find-refuge-and-now-face-uncertain-future/?cs=6465,www.irrigator.com.au,['uncertainty'],"Western nations, including Australia - collapsed and uncertainty took hold in Afghanistan again. Subscribe now",uncertainty
2024-08-12T00:01:00.000Z,https://wjla.com/news/nation-world/potential-tropical-cyclone-five-emerges-in-tropical-atlantic-soon-to-be-ernesto-lesser-antilles-tropics-greater-antilles-forecast-weather-august,wjla.com,['uncertainty'],"open Atlantic ocean. However, the cone of uncertainty tracks the most likely path of the",uncertainty
2024-08-12T00:01:00.000Z,https://www.mandurahmail.com.au/story/8724775/afghans-find-refuge-and-now-face-uncertain-future/?cs=2693,www.mandurahmail.com.au,['uncertainty'],"Western nations, including Australia - collapsed and uncertainty took hold in Afghanistan again. Create a",uncertainty
2024-08-12T00:01:00.000Z,https://www.mandurahmail.com.au/story/8724775/afghans-find-refuge-and-now-face-uncertain-future/?cs=30776,www.mandurahmail.com.au,['uncertainty'],"Western nations, including Australia - collapsed and uncertainty took hold in Afghanistan again. Create a",uncertainty
2024-08-12T00:01:00.000Z,https://kimatv.com/news/nation-world/potential-tropical-cyclone-five-emerges-in-tropical-atlantic-soon-to-be-ernesto-lesser-antilles-tropics-greater-antilles-forecast-weather-august,kimatv.com,['uncertainty'],"open Atlantic ocean. However, the cone of uncertainty tracks the most likely path of the",uncertainty
